Service,CabType,Source,Destination,Fare
Ola,XL,Seawoods,Borivali,200
Uber,Sedan,Seawoods,Borivali,221
Ola,Mini,Kurla,Chembur,314
Uber,Bike,Kurla,Chembur,321
Ola,Bike,Kalyan,Vasai,729
Uber,Mini,Kalyan,Vasai,694
Ola,XL,Dadar,Vasai,452
Uber,Prime,Dadar,Vasai,448
Ola,XL,Bandra,Panvel,504
Uber,Bike,Bandra,Panvel,471
Ola,Auto,Andheri,Nerul,297
Uber,XL,Andheri,Nerul,355
Ola,Bike,Thane,Kurla,309
Uber,Bike,Thane,Kurla,340
Ola,Auto,Mulund,Andheri,505
Uber,XL,Mulund,Andheri,489
Ola,Sedan,Bhiwandi,Kurla,261
Uber,Auto,Bhiwandi,Kurla,255
Ola,XL,Dadar,Andheri,637
Uber,Bike,Dadar,Andheri,723
Ola,Auto,Bandra,Chembur,214
Uber,Auto,Bandra,Chembur,255
Ola,Prime,Seawoods,Ghatkopar,298
Uber,XL,Seawoods,Ghatkopar,271
Ola,Auto,Kurla,Bhiwandi,485
Uber,Auto,Kurla,Bhiwandi,441
Ola,XL,Thane,Vikhroli,653
Uber,XL,Thane,Vikhroli,631
Ola,Auto,Mira Road,Powai,604
Uber,XL,Mira Road,Powai,611
Ola,Mini,Borivali,Bhiwandi,681
Uber,Sedan,Borivali,Bhiwandi,627
Ola,Mini,Chembur,Mumbai Central,552
Uber,Sedan,Chembur,Mumbai Central,509
Ola,Auto,Nerul,Thane,598
Uber,Sedan,Nerul,Thane,646
Ola,Prime,Chembur,Bandra,699
Uber,Prime,Chembur,Bandra,698
Ola,Bike,Borivali,Colaba,592
Uber,Prime,Borivali,Colaba,592
Ola,XL,Kurla,Mumbai Central,445
Uber,Prime,Kurla,Mumbai Central,461
Ola,Auto,Dadar,Kurla,464
Uber,Mini,Dadar,Kurla,429
Ola,Prime,Bhiwandi,Powai,282
Uber,Sedan,Bhiwandi,Powai,298
Ola,Prime,Andheri,Bhiwandi,181
Uber,Sedan,Andheri,Bhiwandi,181
Ola,XL,Mira Road,Bhiwandi,301
Uber,Auto,Mira Road,Bhiwandi,253
Ola,Auto,Kurla,Vasai,601
Uber,Auto,Kurla,Vasai,639
Ola,Auto,Kalyan,Panvel,705
Uber,Sedan,Kalyan,Panvel,643
Ola,Sedan,Ghatkopar,Mira Road,773
Uber,Auto,Ghatkopar,Mira Road,830
Ola,Sedan,Mulund,Borivali,411
Uber,Mini,Mulund,Borivali,344
Ola,Bike,Mulund,Kurla,443
Uber,Auto,Mulund,Kurla,384
Ola,Sedan,Vikhroli,Borivali,376
Uber,Bike,Vikhroli,Borivali,323
Ola,Bike,Kalyan,Mumbai Central,607
Uber,Auto,Kalyan,Mumbai Central,618
Ola,Bike,Mira Road,Dadar,784
Uber,Bike,Mira Road,Dadar,724
Ola,Auto,Mira Road,Powai,559
Uber,Prime,Mira Road,Powai,561
Ola,Bike,Nerul,Borivali,289
Uber,XL,Nerul,Borivali,275
Ola,Auto,Kalyan,Vasai,312
Uber,Prime,Kalyan,Vasai,309
Ola,Bike,Vikhroli,Nerul,429
Uber,Sedan,Vikhroli,Nerul,438
Ola,XL,Andheri,Chembur,730
Uber,Auto,Andheri,Chembur,748
Ola,Auto,Dadar,Kurla,341
Uber,Prime,Dadar,Kurla,370
Ola,Sedan,Chembur,Mira Road,511
Uber,Prime,Chembur,Mira Road,536
Ola,Bike,Bhiwandi,Andheri,564
Uber,XL,Bhiwandi,Andheri,502
Ola,XL,Borivali,Ghatkopar,221
Uber,Auto,Borivali,Ghatkopar,223
Ola,Bike,Mumbai Central,Kurla,194
Uber,Bike,Mumbai Central,Kurla,190
Ola,XL,Panvel,Colaba,213
Uber,XL,Panvel,Colaba,184
Ola,Prime,Thane,Bhiwandi,611
Uber,Auto,Thane,Bhiwandi,634
Ola,XL,Colaba,Panvel,392
Uber,Prime,Colaba,Panvel,459
Ola,Prime,Borivali,Colaba,570
Uber,Auto,Borivali,Colaba,656
Ola,Prime,Ghatkopar,Mira Road,275
Uber,Prime,Ghatkopar,Mira Road,215
Ola,Sedan,Panvel,Bandra,514
Uber,Prime,Panvel,Bandra,542
Ola,Prime,Thane,Seawoods,539
Uber,Mini,Thane,Seawoods,629
Ola,XL,Kalyan,Dadar,735
Uber,Prime,Kalyan,Dadar,734
Ola,XL,Chembur,Ghatkopar,503
Uber,XL,Chembur,Ghatkopar,436
Ola,Auto,Chembur,Ghatkopar,717
Uber,XL,Chembur,Ghatkopar,646
Ola,Prime,Panvel,Bhiwandi,343
Uber,XL,Panvel,Bhiwandi,416
Ola,Auto,Powai,Vikhroli,679
Uber,Mini,Powai,Vikhroli,731
Ola,Prime,Borivali,Powai,635
Uber,Prime,Borivali,Powai,697
Ola,Sedan,Nerul,Thane,620
Uber,Prime,Nerul,Thane,580
Ola,Prime,Ghatkopar,Dadar,464
Uber,XL,Ghatkopar,Dadar,410
Ola,Mini,Panvel,Chembur,435
Uber,Auto,Panvel,Chembur,407
Ola,Mini,Chembur,Kurla,329
Uber,Bike,Chembur,Kurla,369
Ola,Mini,Thane,Mulund,558
Uber,Prime,Thane,Mulund,632
Ola,Bike,Mira Road,Seawoods,223
Uber,Mini,Mira Road,Seawoods,258
Ola,Prime,Seawoods,Bhiwandi,746
