Service,Type,Source,Destination,Fare
Uber,XL,Vidyalankar Institute Wadala,Kurla,479
Uber,Bike,Vidyalankar Institute Wadala,Kurla,130
Uber,Black/Lux,Vidyalankar Institute Wadala,Kurla,400
Uber,Mini,Vidyalankar Institute Wadala,Kurla,245
Uber,Taxi,Vidyalankar Institute Wadala,Kurla,180
Uber,Premier Sedan,Vidyalankar Institute Wadala,Kurla,330
Uber,SUV,Vidyalankar Institute Wadala,Kurla,400
Ola,XL,Vidyalankar Institute Wadala,Kurla,459
Ola,Bike,Vidyalankar Institute Wadala,Kurla,113
Ola,Black/Lux,Vidyalankar Institute Wadala,Kurla,425
Ola,Mini,Vidyalankar Institute Wadala,Kurla,237
Ola,Taxi,Vidyalankar Institute Wadala,Kurla,170
Ola,Premier Sedan,Vidyalankar Institute Wadala,Kurla,306
Ola,SUV,Vidyalankar Institute Wadala,Kurla,395
Uber,XL,Vidyalankar Institute Wadala,Dadar,230
Uber,Bike,Vidyalankar Institute Wadala,Dadar,65
Uber,Black/Lux,Vidyalankar Institute Wadala,Dadar,280
Uber,Taxi,Vidyalankar Institute Wadala,Dadar,120
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Dadar,300
Uber,SUV,Vidyalankar Institute Wadala,Dadar,375
Ola,XL,Vidyalankar Institute Wadala,Dadar,320
Ola,Bike,Vidyalankar Institute Wadala,Dadar,73
Ola,Black/Lux,Vidyalankar Institute Wadala,Dadar,297
Ola,Taxi,Vidyalankar Institute Wadala,Dadar,111
Ola,Premier Sedan,Vidyalankar Institute Wadala,Dadar,307
Ola,SUV,Vidyalankar Institute Wadala,Dadar,382
Uber,XL,Vidyalankar Institute Wadala,Ghatkopar,425
Uber,Bike,Vidyalankar Institute Wadala,Ghatkopar,190
Uber,Black/Lux,Vidyalankar Institute Wadala,Ghatkopar,350
Uber,Mini,Vidyalankar Institute Wadala,Ghatkopar,320
Uber,Taxi,Vidyalankar Institute Wadala,Ghatkopar,315
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Ghatkopar,400
Uber,SUV,Vidyalankar Institute Wadala,Ghatkopar,550
Ola,XL,Vidyalankar Institute Wadala,Ghatkopar,419
Ola,Bike,Vidyalankar Institute Wadala,Ghatkopar,199
Ola,Black/Lux,Vidyalankar Institute Wadala,Ghatkopar,340
Ola,Mini,Vidyalankar Institute Wadala,Ghatkopar,333
Ola,Taxi,Vidyalankar Institute Wadala,Ghatkopar,300
Ola,Premier Sedan,Vidyalankar Institute Wadala,Ghatkopar,390
Ola,SUV,Vidyalankar Institute Wadala,Ghatkopar,541
Uber,XL,Vidyalankar Institute Wadala,Bhandup,795
Uber,Bike,Vidyalankar Institute Wadala,Bhandup,
Uber,Black/Lux,Vidyalankar Institute Wadala,Bhandup,600
Uber,Mini,Vidyalankar Institute Wadala,Bhandup,500
Uber,Taxi,Vidyalankar Institute Wadala,Bhandup,420
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Bhandup,555
Uber,SUV,Vidyalankar Institute Wadala,Bhandup,790
Ola,XL,Vidyalankar Institute Wadala,Bhandup,800
Ola,Bike,Vidyalankar Institute Wadala,Bhandup,
Ola,Black/Lux,Vidyalankar Institute Wadala,Bhandup,604
Ola,Mini,Vidyalankar Institute Wadala,Bhandup,508
Ola,Taxi,Vidyalankar Institute Wadala,Bhandup,450
Ola,Premier Sedan,Vidyalankar Institute Wadala,Bhandup,562
Ola,SUV,Vidyalankar Institute Wadala,Bhandup,784
Uber,XL,Vidyalankar Institute Wadala,Mulund,700
Uber,Bike,Vidyalankar Institute Wadala,Mulund,
Uber,Black/Lux,Vidyalankar Institute Wadala,Mulund,610
Uber,Mini,Vidyalankar Institute Wadala,Mulund,530
Uber,Taxi,Vidyalankar Institute Wadala,Mulund,480
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Mulund,555
Uber,SUV,Vidyalankar Institute Wadala,Mulund,790
Ola,XL,Vidyalankar Institute Wadala,Mulund,702
Ola,Bike,Vidyalankar Institute Wadala,Mulund,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Mulund,600
Ola,Mini,Vidyalankar Institute Wadala,Mulund,520
Ola,Taxi,Vidyalankar Institute Wadala,Mulund,4
Ola,Premier Sedan,Vidyalankar Institute Wadala,Mulund,562
Ola,SUV,Vidyalankar Institute Wadala,Mulund,783
Uber,XL,Vidyalankar Institute Wadala,Colaba,560
Uber,Bike,Vidyalankar Institute Wadala,Colaba,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Colaba,512
Uber,Mini,Vidyalankar Institute Wadala,Colaba,440
Uber,Taxi,Vidyalankar Institute Wadala,Colaba,350
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Colaba,560
Uber,SUV,Vidyalankar Institute Wadala,Colaba,700
Ola,XL,Vidyalankar Institute Wadala,Colaba,550
Ola,Bike,Vidyalankar Institute Wadala,Colaba,Unavailable for long disance
Ola,Black/Lux,Vidyalankar Institute Wadala,Colaba,500
Ola,Mini,Vidyalankar Institute Wadala,Colaba,450
Ola,Taxi,Vidyalankar Institute Wadala,Colaba,354
Ola,Premier Sedan,Vidyalankar Institute Wadala,Colaba,567
Ola,SUV,Vidyalankar Institute Wadala,Colaba,715
Uber,XL,Vidyalankar Institute Wadala,Sion,280
Uber,Bike,Vidyalankar Institute Wadala,Sion,80
Uber,Black/Lux,Vidyalankar Institute Wadala,Sion,240
Uber,Mini,Vidyalankar Institute Wadala,Sion,180
Uber,Taxi,Vidyalankar Institute Wadala,Sion,100
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Sion,250
Uber,SUV,Vidyalankar Institute Wadala,Sion,350
Ola,XL,Vidyalankar Institute Wadala,Sion,260
Ola,Bike,Vidyalankar Institute Wadala,Sion,72
Ola,Black/Lux,Vidyalankar Institute Wadala,Sion,250
Ola,Mini,Vidyalankar Institute Wadala,Sion,197
Ola,Taxi,Vidyalankar Institute Wadala,Sion,111
Ola,Premier Sedan,Vidyalankar Institute Wadala,Sion,224
Ola,SUV,Vidyalankar Institute Wadala,Sion,334
Uber,XL,Vidyalankar Institute Wadala,Matunga,380
Uber,Bike,Vidyalankar Institute Wadala,Matunga,70
Uber,Black/Lux,Vidyalankar Institute Wadala,Matunga,300
Uber,Mini,Vidyalankar Institute Wadala,Matunga,299
Uber,Taxi,Vidyalankar Institute Wadala,Matunga,148
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Matunga,350
Uber,SUV,Vidyalankar Institute Wadala,Matunga,410
Ola,XL,Vidyalankar Institute Wadala,Matunga,363
Ola,Bike,Vidyalankar Institute Wadala,Matunga,80
Ola,Black/Lux,Vidyalankar Institute Wadala,Matunga,310
Ola,Mini,Vidyalankar Institute Wadala,Matunga,280
Ola,Taxi,Vidyalankar Institute Wadala,Matunga,130
Ola,Premier Sedan,Vidyalankar Institute Wadala,Matunga,319
Ola,SUV,Vidyalankar Institute Wadala,Matunga,443
Uber,XL,Vidyalankar Institute Wadala,Thane,660
Uber,Bike,Vidyalankar Institute Wadala,Thane,Unavailable for long disance
Uber,Black/Lux,Vidyalankar Institute Wadala,Thane,515
Uber,Mini,Vidyalankar Institute Wadala,Thane,427
Uber,Taxi,Vidyalankar Institute Wadala,Thane,420
Uber ,Premier Sedan,Vidyalankar Institute Wadala,Thane,450
